Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
q6_weight_kg,dane_demograficzne,,text,Masa ciała (kg):,,"Można podać np. 65 lub 65,0 lub 72,5.",number_comma_decimal,"30,0","250,0",,,y,,,,,
q7_height_cm,dane_demograficzne,,text,Wzrost (cm):,,,integer,130,230,,,y,,,,,
q8_waist_cm,dane_demograficzne,,text,Obwód talii (cm) - opcjonalne:,,,integer,50,200,,,,,,,,
bmi_calc,dane_demograficzne,Pola obliczeniowe,calc,BMI [kg/m²] (auto-obliczone),"round([q6_weight_kg] / (([q7_height_cm]/100) * ([q7_height_cm]/100)), 2)","WHO: <18.5 niedowaga, 18.5-24.9 norma, 25-29.9 nadwaga, ≥30 otyłość.",,,,,,,,,,,@HIDDEN-SURVEY
q9_years_diving,ekspozycja_nurkowa,C. Ekspozycja nurkowa,radio,Od ilu lat Pan/Pani nurkuje?,"1, < 1 roku | 2, 1-3 lat | 3, 4-10 lat | 4, > 10 lat",,,,,,,y,LV,,,,
q10_diving_purpose,ekspozycja_nurkowa,,radio,Charakter nurkowania:,"1, Rekreacyjnie | 2, Zawodowo | 3, Jedno i drugie",,,,,,,y,LV,,,,
q11_diving_method,ekspozycja_nurkowa,,radio,Sposób nurkowania:,"1, Ze sprzętem (SCUBA) | 2, Z zatrzymanym oddechem (freediving) | 3, Jedno i drugie",,,,,,,y,LV,,,,
q12_certification,ekspozycja_nurkowa,,radio,Najwyższy posiadany stopień nurkowy (PADI lub odpowiednik):,"1, Brak certyfikacji | 2, OWD (Open Water Diver) | 3, AOWD (Advanced Open Water Diver) | 4, Rescue Diver | 5, Divemaster / Instruktor | 6, Stopień nurka technicznego (Tec/Trimix/CCR) | 7, Inny",,,,,,,y,LV,,,,
q12_other_cert,ekspozycja_nurkowa,,text,Inny stopień nurkowy - jaki?,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q12_certification] = '7',,,,,,
q12b_other_aowd,ekspozycja_nurkowa,,radio,Czy ten stopień odpowiada co najmniej poziomowi AOWD (Advanced) lub wyższemu?,"1, Tak | 2, Nie | 3, Nie wiem",,,,,,[q12_certification] = '7',,LV,,,,
q13_dives_per_year,ekspozycja_nurkowa,,radio,Ile razy w roku Pan/Pani nurkuje? (średnio z 24 mies.),"1, 1-10 | 2, 11-30 | 3, 31-50 | 4, > 50",,,,,,,y,LV,,,,
q14_dive_duration,ekspozycja_nurkowa,,radio,Typowy średni czas nurkowania (min):,"1, < 30 | 2, 30-45 | 3, 46-60 | 4, > 60",,,,,,,y,LV,,,,
q15_deep_diving,ekspozycja_nurkowa,,radio,Czy uprawia Pan/Pani nurkowanie głębokie (> 40 m)?,"1, Tak, regularnie | 2, Tak, sporadycznie | 3, Nie",,,,,,,y,LV,,,,
q16_insurance,ekspozycja_nurkowa,,radio,"Aktywne ubezpieczenie nurkowe (DAN, Aqua Med, inne)?","1, Tak | 2, Nie | 3, Nie wiem",,,,,,,y,LV,,,,
q17_locations,ekspozycja_nurkowa,,checkbox,Gdzie Pan/Pani nurkuje? (wielokrotny wybór),"1, Polskie jeziora i akweny śródlądowe | 2, Morze Bałtyckie | 3, Morze Czerwone | 4, Morze Śródziemne | 5, Wody tropikalne pozaeuropejskie (Karaiby, Indo-Pacyfik) | 6, Nurkowanie jaskiniowe | 7, Nurkowanie wrakowe | 8, Inne",,,,,,,,LV,,,,
q17_other_location,ekspozycja_nurkowa,,text,Inne miejsca nurkowania - jakie?,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q17_locations(8)] = '1',,,,,,
q18_suit_type,ekspozycja_nurkowa,,radio,Jakiego skafandra używa Pan/Pani najczęściej? [zmienna z DAN DSL 2024],"1, Mokry (wet suit) | 2, Półsuchy (semi-dry) | 3, Suchy (dry suit) | 4, Skafander cienki / shorty (< 3 mm) | 5, Bez skafandra (głównie ciepłe wody)",,,,,,,y,LV,,,,
q19_cv_diseases,stan_zdrowia,D. Stan zdrowia,checkbox,Choroby układu sercowo-naczyniowego (wielokrotny wybór):,"1, Nadciśnienie tętnicze | 2, Choroba wieńcowa | 3, Zawał serca w wywiadzie | 4, Zaburzenia rytmu serca | 5, Cukrzyca typu 1 lub 2 | 6, Hipercholesterolemia / dyslipidemia | 7, PFO (przetrwały otwór owalny) - potwierdzony badaniem | 8, Żadne z powyższych",,,,,,,y,LV,,,,@NONEOFTHEABOVE='8'
q20_resp_diseases,stan_zdrowia,,checkbox,Choroby układu oddechowego (wielokrotny wybór):,"1, Astma oskrzelowa | 2, Odma opłucnowa w wywiadzie | 3, POChP | 4, Częste zapalenia zatok przynosowych | 5, Pęcherze rozedmowe / torbiele płuc | 6, Mukowiscydoza | 7, Żadne z powyższych",,,,,,,y,LV,,,,@NONEOFTHEABOVE='7'
q21_neuro_diseases,stan_zdrowia,,checkbox,Choroby neurologiczne lub psychiczne (wielokrotny wybór):,"1, Padaczka | 2, Migrena | 3, Omdlenia / utraty przytomności | 4, Stwardnienie rozsiane | 5, Klaustrofobia / zaburzenia lękowe | 6, Depresja w trakcie leczenia farmakologicznego | 7, Żadne z powyższych",,,,,,,y,LV,,,,@NONEOFTHEABOVE='7'
q22_ent_problems,stan_zdrowia,,checkbox,"Problemy z uszami, zatokami lub równowagą (wielokrotny wybór):","1, Przewlekłe lub nawracające zapalenia ucha | 2, Trwała utrata słuchu | 3, Zaburzenia równowagi / zawroty głowy | 4, Operacja uszu, zatok lub krtani | 5, Perforacja błony bębenkowej w wywiadzie | 6, Żadne z powyższych",,,,,,,y,LV,,,,@NONEOFTHEABOVE='6'
q23_equalization,stan_zdrowia,,radio,Problemy z wyrównywaniem ciśnienia podczas nurkowania?,"1, Tak, regularnie | 2, Tak, sporadycznie | 3, Nie",,,,,,,y,LV,,,,
q24_medications,stan_zdrowia,,radio,Czy przyjmuje Pan/Pani leki na stałe?,"1, Tak | 2, Nie",,,,,,,y,LV,,,,
q24_medications_list,stan_zdrowia,,notes,Jakie leki? (opcjonalnie),,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q24_medications] = '1',,,,,,
intro_pa_r,aktywnosc_fizyczna,E. Aktywność fizyczna,descriptive,"<i>Sekcja oparta na University of Houston Non-Exercise Test [Jackson, Blair i wsp., 1990] - szacowanie VO₂max.</i>",,,,,,,,,,,,,
q25_pa_r,aktywnosc_fizyczna,,radio,"Skala PA-R (Physical Activity Rating, 0-7):","1, [0] Nie uczestniczę regularnie; unikam wysiłku fizycznego | 2, [1] Spaceruję dla przyjemności; od czasu do czasu ćwiczę | 3, [2] Lekkie aktywności (10-60 min/tydzień) | 4, [3] Lekkie aktywności (> 60 min/tydzień) | 5, [4] Bieg < 1,5 km/tyg. lub < 30 min porównywalnego wysiłku | 6, [5] Bieg 1,5-7,5 km/tyg. lub 30-60 min wysiłku | 7, [6] Bieg 7,5-15 km/tyg. lub 1-3 h wysiłku | 8, [7] Bieg > 15 km/tyg. lub > 3 h wysiłku",Wybierz opcję najlepiej opisującą Twoją zwykłą aktywność.,,,,,,y,LV,,,,
q27_disability,aktywnosc_fizyczna,,radio,Ustalony stopień niepełnosprawności:,"1, Nie | 2, Tak, lekki | 3, Tak, umiarkowany | 4, Tak, znaczny | 5, Wolę nie podawać",,,,,,,y,LV,,,,
q28_pre_dive_activity,aktywnosc_fizyczna,,radio,Aktywność fizyczna do 2 h przed ostatnim nurkowaniem [zmienna z DAN DSL 2024]:,"1, Brak aktywności / odpoczynek | 2, Lekka aktywność (spacer, niesienie sprzętu) | 3, Umiarkowana / intensywna aktywność | 4, Czuję się zmęczony/a przed nurkowaniem",,,,,,,y,LV,,,,
ipaq_vig_days,aktywnosc_fizyczna,G1. Aktywnosc fizyczna - ostatnie 7 dni (IPAQ-SF),text,"W ciagu ostatnich 7 dni, przez ile DNI wykonywal(a) Pan/Pani INTENSYWNA aktywnosc fizyczna (np. dzwiganie ciezarow, kopanie, aerobik, szybka jazda rowerem) przez co najmniej 10 minut?",,,integer,0,7,,,y,,,,,
ipaq_vig_min,aktywnosc_fizyczna,,text,Ile zwykle MINUT dziennie trwala ta intensywna aktywnosc?,,,integer,0,960,,[ipaq_vig_days] > 0,,,,,,
ipaq_mod_days,aktywnosc_fizyczna,,text,"Przez ile DNI wykonywal(a) Pan/Pani UMIARKOWANA aktywnosc fizyczna (np. niesienie lekkich ciezarow, rower w umiarkowanym tempie; NIE wliczaj chodzenia)?",,,integer,0,7,,,y,,,,,
ipaq_mod_min,aktywnosc_fizyczna,,text,Ile zwykle MINUT dziennie trwala ta umiarkowana aktywnosc?,,,integer,0,960,,[ipaq_mod_days] > 0,,,,,,
ipaq_walk_days,aktywnosc_fizyczna,,text,Przez ile DNI chodzil(a) Pan/Pani co najmniej 10 minut bez przerwy?,,,integer,0,7,,,y,,,,,
ipaq_walk_min,aktywnosc_fizyczna,,text,Ile zwykle MINUT dziennie zajmowalo to chodzenie?,,,integer,0,960,,[ipaq_walk_days] > 0,,,,,,
ipaq_sit_hours,aktywnosc_fizyczna,,text,Ile zwykle GODZIN dziennie spedza Pan/Pani siedzac (w dzien powszedni)?,,,integer,0,24,,,y,,,,,
vsaq_level,aktywnosc_fizyczna,"G2. Wydolnosc funkcjonalna - tolerancja wysilku (VSAQ, adapt.)",radio,"Prosze wskazac NAJBARDZIEJ wymagajaca czynnosc, ktora jest Pan/Pani w stanie wykonac BEZ zatrzymania z powodu zmeczenia lub zadyszki:","1, Jedzenie, ubieranie sie, praca przy biurku (~1 MET) | 2, Spacer po domu, lekkie prace (~2 MET) | 3, Wolny spacer ~3 km/h, prysznic (~3 MET) | 4, Lekkie prace domowe (odkurzanie), szybszy spacer (~4 MET) | 5, Lekkie prace ogrodowe, taniec towarzyski (~5 MET) | 6, Umiarkowane prace fizyczne, wolny jogging (~6 MET) | 7, Tenis (singiel), wnoszenie ciezkich zakupow po schodach (~7 MET) | 8, Szybki jogging, wchodzenie po schodach bez przerwy (~8 MET) | 9, Szybka jazda rowerem, umiarkowane plywanie (~9 MET) | 10, Szybkie plywanie, bieg ~10 km/h (~10 MET) | 11, Bieg szybki, narciarstwo biegowe (~11 MET) | 12, Bieg ~12 km/h (~12 MET) | 13, Sport wyczynowy, bieg > 12 km/h (~13 MET)",Adaptacja VSAQ (self-reported MET capacity); skala nieobciazeniowa.,,,,,,y,LV,,,,
dasi_selfcare,aktywnosc_fizyczna,G3. Wydolnosc funkcjonalna (DASI),radio,"Czy jest Pan/Pani w stanie samodzielnie zadbac o siebie (jesc, ubierac sie, kapac sie, korzystac z toalety)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_walk_indoor,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie chodzic po domu (np. miedzy pokojami)?,"1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_walk_block,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie przejsc 1-2 przecznice po plaskim terenie?,"1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_stairs,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie wejsc po schodach na pietro lub wejsc na wzniesienie?,"1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_run,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie przebiec krotki dystans?,"1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_light_house,aktywnosc_fizyczna,,radio,"Czy jest Pan/Pani w stanie wykonywac lekkie prace domowe (scieranie kurzu, zmywanie naczyn)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_mod_house,aktywnosc_fizyczna,,radio,"Czy jest Pan/Pani w stanie wykonywac umiarkowane prace domowe (odkurzanie, zamiatanie, noszenie zakupow)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_heavy_house,aktywnosc_fizyczna,,radio,"Czy jest Pan/Pani w stanie wykonywac ciezkie prace domowe (szorowanie podlog, podnoszenie/przesuwanie ciezkich mebli)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_yard,aktywnosc_fizyczna,,radio,"Czy jest Pan/Pani w stanie wykonywac prace w ogrodzie (grabienie lisci, pielenie, pchanie kosiarki)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_sex,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie odbywac stosunki seksualne?,"1, Tak | 0, Nie",Pytanie nieobowiazkowe - mozna pominac.,,,,,,,LV,,,,
dasi_mod_rec,aktywnosc_fizyczna,,radio,"Czy uczestniczy Pan/Pani w umiarkowanych aktywnosciach rekreacyjnych (golf, kregle, taniec, tenis debel, rzucanie pilka)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dasi_strenuous,aktywnosc_fizyczna,,radio,"Czy uczestniczy Pan/Pani w intensywnych sportach (plywanie, tenis singlowy, pilka nozna, koszykowka, narciarstwo)?","1, Tak | 0, Nie",,,,,,,,LV,,,,
dive_swim200,aktywnosc_fizyczna,G4. Sprawnosc specyficzna dla nurkowania (eksploracyjne),radio,Czy jest Pan/Pani w stanie przeplynac 200 m po powierzchni w pletwach bez zatrzymywania?,"1, Tak | 2, Nie | 3, Nie probowalem / nie wiem",,,,,,,,LV,,,,[EKSPLORACYJNE]
dive_exit_gear,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie wyjsc z wody po drabince lub stromym brzegu z pelnym sprzetem?,"1, Tak | 2, Nie | 3, Nie probowalem / nie wiem",,,,,,,,LV,,,,[EKSPLORACYJNE]
dive_carry50,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie niesc zestaw nurkowy przez co najmniej 50 m?,"1, Tak | 2, Nie | 3, Nie probowalem / nie wiem",,,,,,,,LV,,,,[EKSPLORACYJNE]
dive_assist_buddy,aktywnosc_fizyczna,,radio,Czy jest Pan/Pani w stanie pomoc partnerowi w sytuacji awaryjnej (np. holowanie na krotkim dystansie)?,"1, Tak | 2, Nie | 3, Nie probowalem / nie wiem",,,,,,,,LV,,,,[EKSPLORACYJNE]
dive_stop_symptoms_24m,aktywnosc_fizyczna,,radio,"Czy w ostatnich 24 miesiacach przerwal(a) Pan/Pani nurkowanie z powodu zmeczenia, dusznosci, kolatania serca, bolu w klatce piersiowej lub kurczow?","1, Tak | 2, Nie",,,,,,,,LV,,,,[EKSPLORACYJNE]
pa_r_score,aktywnosc_fizyczna,Pola obliczeniowe,calc,"PA-R score (0-7, auto)",[q25_pa_r] - 1,REDCap zwraca wartość radio jako 1-8; -1 daje skalę 0-7.,,,,,,,,,,,@HIDDEN-SURVEY
vo2max_estimated,aktywnosc_fizyczna,,calc,"VO₂max szacowane [ml/kg/min] (Houston, Jackson 1990)","if([q4b_sex_bio]='1' or [q4b_sex_bio]='2', round(56.363 + 1.921*[pa_r_score] - 0.381*[q5_age] - 0.754*[bmi_calc] + 10.987*if([q4b_sex_bio]='2', 1, 0), 2), '')","Wartosc SZACOWANA metoda non-exercise [Jackson 1990, Med Sci Sports Exerc 22(6):863-870], nie pomiar CPET. Liczone tylko dla plci biologicznej kobieta/mezczyzna.",,,,,,,,,,,@HIDDEN-SURVEY
intro_knowledge,test_wiedzy,F. Test wiedzy o bezpieczeństwie nurkowania,descriptive,"<i>Test składa się z 10 pytań na trzech poziomach trudności: 4 podstawowe (OWD), 4 zaawansowane (AOWD/Rescue), 2 ratunkowo-medyczne (DAN First Aid). Maksymalny wynik: 10 pkt.</i>",,,,,,,,,,,,,
q29_kn_barotrauma,test_wiedzy,,radio,Co to jest barotrauma?,"1, Uraz spowodowany różnicą ciśnień | 2, Choroba wywoływana przez bakterie | 3, Rodzaj alergii na wodę | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 1.]
q30_kn_dcs,test_wiedzy,,radio,Co to jest choroba dekompresyjna (DCS)?,"1, Infekcja skóry po nurkowaniu | 2, Tworzenie się pęcherzyków gazu w tkankach przy zbyt szybkim wynurzaniu | 3, Choroba wywołana zimną wodą | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q31_kn_main_gas,test_wiedzy,,radio,Jaki jest główny gaz odpowiedzialny za DCS w nurkowaniu rekreacyjnym?,"1, Tlen | 2, Dwutlenek węgla | 3, Azot | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
q32_kn_dcs_action,test_wiedzy,,radio,Co należy zrobić w przypadku podejrzenia DCS po nurkowaniu?,"1, Wypić dużo wody i poczekać | 2, Jak najszybciej zanurzyć się ponownie | 3, Podać tlen 100% i jak najszybciej skontaktować się z DAN/komorą | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
q33_kn_mod_nitrox,test_wiedzy,,radio,"Maksymalna głębokość operacyjna (MOD) dla EAN32 przy PpO₂ = 1,4 ata?","1, 20 m | 2, 30 m | 3, 33 m | 4, 40 m",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3 (33 m).]
q34_kn_baro_atypical,test_wiedzy,,radio,Który z objawów NIE jest typowy dla barotraumy ucha środkowego?,"1, Ból ucha | 2, Zawroty głowy | 3, Ból w klatce piersiowej | 4, Szum w uszach",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
q35_kn_narcosis,test_wiedzy,,radio,Narkoza azotowa (efekt Martiniego) - definicja i typowe pojawienie?,"1, Reakcja alergiczna na azot, pojawia się przy każdej głębokości | 2, Stan euforii / zaburzeń poznawczych przez rozpuszczanie azotu w tkance nerwowej; typowo poniżej 30 m | 3, Toksyczność azotowa płuc, pojawia się przy nurk. saturacyjnych | 4, Nie wiem",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q36_kn_dan_riskfactor,test_wiedzy,,radio,Które zachowanie zwiększa ryzyko choroby dekompresyjnej (DCS)?,"1, Przestrzeganie przystanku bezpieczeństwa | 2, Wielokrotne głębokie nurkowania z krótkimi przerwami powierzchniowymi | 3, Powolne wynurzanie | 4, Korzystanie z komputera nurkowego",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q37_kn_type2_dcs,test_wiedzy,,radio,Który objaw wymaga NATYCHMIASTOWEJ ewakuacji do komory hiperbarycznej (podejrzenie DCS Typu II)?,"1, Świąd skóry i lekkie zaczerwienienie | 2, Niedowład kończyn dolnych, zaburzenia czucia, zaburzenia świadomości | 3, Zmęczenie po długim nurkowaniu | 4, Ból ucha podczas wynurzania",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 2.]
q38_kn_lung_baro,test_wiedzy,,radio,"Partner po wynurzeniu: silna duszność, krwista plwocina, ból w klatce. Co to i pierwsze postępowanie?","1, Zwykłe zmęczenie - kazać odpocząć | 2, Atak astmy - podać salbutamol i poczekać | 3, Najprawdopodobniej barotrauma płucna lub zator powietrzny - ułożyć płasko, podać tlen 100%, wezwać pomoc, transport do komory | 4, Hipotermia - ogrzać i podać ciepły napój",,,,,,,y,LV,,,,[KLUCZ: Poprawna: opcja 3.]
intro_scoring,test_wiedzy,Scoring (auto-obliczeniowy),descriptive,"<b>Pola obliczeniowe - scoring testu wiedzy</b><br>Generowane automatycznie. 1 = odpowiedź poprawna, 0 = niepoprawna.",,,,,,,,,,,,,@HIDDEN-SURVEY
q29_score_barotrauma,test_wiedzy,,calc,Score: q29_kn_barotrauma,"if([q29_kn_barotrauma] = '1', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q30_score_dcs,test_wiedzy,,calc,Score: q30_kn_dcs,"if([q30_kn_dcs] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q31_score_main_gas,test_wiedzy,,calc,Score: q31_kn_main_gas,"if([q31_kn_main_gas] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q32_score_dcs_action,test_wiedzy,,calc,Score: q32_kn_dcs_action,"if([q32_kn_dcs_action] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q33_score_mod_nitrox,test_wiedzy,,calc,Score: q33_kn_mod_nitrox,"if([q33_kn_mod_nitrox] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q34_score_baro_atypical,test_wiedzy,,calc,Score: q34_kn_baro_atypical,"if([q34_kn_baro_atypical] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q35_score_narcosis,test_wiedzy,,calc,Score: q35_kn_narcosis,"if([q35_kn_narcosis] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q36_score_dan_riskfactor,test_wiedzy,,calc,Score: q36_kn_dan_riskfactor,"if([q36_kn_dan_riskfactor] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q37_score_type2_dcs,test_wiedzy,,calc,Score: q37_kn_type2_dcs,"if([q37_kn_type2_dcs] = '2', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
q38_score_lung_baro,test_wiedzy,,calc,Score: q38_kn_lung_baro,"if([q38_kn_lung_baro] = '3', 1, 0)",,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_basic,test_wiedzy,,calc,Wynik - poziom podstawowy (max 4),[q29_score_barotrauma] + [q30_score_dcs] + [q31_score_main_gas] + [q32_score_dcs_action],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_advanced,test_wiedzy,,calc,Wynik - poziom zaawansowany (max 4),[q33_score_mod_nitrox] + [q34_score_baro_atypical] + [q35_score_narcosis] + [q36_score_dan_riskfactor],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_emergency,test_wiedzy,,calc,Wynik - poziom ratunkowo-medyczny (max 2),[q37_score_type2_dcs] + [q38_score_lung_baro],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_score_total,test_wiedzy,,calc,Wynik łączny testu wiedzy (max 10),[knowledge_score_basic] + [knowledge_score_advanced] + [knowledge_score_emergency],,,,,,,,,,,,@HIDDEN-SURVEY
knowledge_pct,test_wiedzy,,calc,Wynik testu wiedzy [%],"round([knowledge_score_total] * 10, 1)",,,,,,,,,,,,@HIDDEN-SURVEY
q39_baro_history,zdarzenia_niepozadane,G. Zdarzenia niepożądane,radio,Czy kiedykolwiek wystąpiły u Pana/Pani objawy barotraumy podczas lub po nurkowaniu?,"1, Tak | 2, Nie | 3, Nie wiem / nie jestem pewien/a",,,,,,,y,LV,,,,
q40_baro_symptoms,zdarzenia_niepozadane,,checkbox,Jakie objawy barotraumy? (rozszerzona lista),"1, Ból ucha | 2, Krwawienie z ucha | 3, Trwała lub przejściowa utrata słuchu | 4, Zawroty głowy | 5, Ból zatok przynosowych | 6, Krwawienie z nosa | 7, Kaszel po wynurzeniu | 8, Krwioplucie | 9, Ucisk lub ból w klatce piersiowej | 10, Duszność po wynurzeniu | 11, Ból zębów / zatok zębowych | 12, Inne",,,,,,[q39_baro_history] = '1',,LV,,,,
q40_baro_other,zdarzenia_niepozadane,,text,Inne objawy barotraumy - jakie?,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q40_baro_symptoms(12)] = '1',,,,,,
q39b_baro_24m,zdarzenia_niepozadane,,radio,Czy objawy barotraumy wystąpiły w ostatnich 24 miesiącach?,"1, Tak | 2, Nie | 3, Nie pamiętam",,,,,,[q39_baro_history] = '1',,LV,,,,
q41_dcs_history,zdarzenia_niepozadane,,radio,Czy kiedykolwiek wystąpiły u Pana/Pani objawy DCS?,"1, Tak - potwierdzona diagnozą lekarską / komorą hiperbaryczną | 2, Tak - podejrzewałem/am DCS, ale bez diagnozy lekarskiej | 3, Nie | 4, Nie wiem / nie jestem pewien/a",,,,,,,y,LV,,,,
